MMM
ABT
ABBV
ACN
ATVI
AYI
ADBE
AAP
AES
AET
AFL
AMG
A
GAS
APD
AKAM
ALK
AA
AGN
ALXN
ALLE
ADS
ALL
GOOGL
GOOG
MO
AMZN
AEE
AAL
AEP
AXP
AIG
AMT
AWK
AMP
ABC
AME
AMGN
APH
APC
ADI
AON
APA
AIV
AAPL
AMAT
ADM
AJG
AIZ
T
ADSK
ADP
AN
AZO
AVGO
AVB
AVY
BHI
BLL
BAC
BK
BCR
BBT
BDX
BBBY
BRK-B
BBY
BIIB
BLK
HRB
BA
BWA
BXP
BSX
BMY
BF-B
CHRW
CA
CVC
COG
CPB
COF
CAH
HSIC
KMX
CCL
CAT
CBG
CBS
CELG
CNC
CNP
CTL
CERN
CF
SCHW
CHK
CVX
CMG
CB
CHD
CI
XEC
CINF
CTAS
CSCO
C
CTXS
CLX
CME
CMS
COH
KO
CTSH
CL
CPGX
CMCSA
CMA
CAG
CXO
COP
ED
STZ
GLW
COST
CCI
CSRA
CSX
CMI
CVS
DHI
DHR
DRI
DVA
DE
DLPH
DAL
XRAY
DVN
DO
DLR
DFS
DISCA
DISCK
DG
DLTR
D
DOV
DPS
DTE
DD
DUK
DNB
ETFC
EMN
ETN
EBAY
ECL
EIX
EW
EA
EMC
EMR
ENDP
EOG
EQT
EFX
EQIX
EQR
ESS
EL
ES
EXC
EXPE
EXPD
ESRX
EXR
XOM
FFIV
FB
FAST
FRT
FDX
FIS
FITB
FSLR
FE
FISV
FLIR
FLS
FLR
FMC
FTI
FL
F
BEN
FCX
FTR
GPS
GRMN
GD
GE
GGP
GIS
GM
GPC
GILD
GPN
GS
GT
GWW
HAL
HBI
HOG
HAR
HRS
HIG
HAS
HCA
HCP
HP
HES
HPE
HOLX
HD
HON
HRL
HST
HPQ
HUM
HBAN
ITW
ILMN
IR
INTC
ICE
IBM
IP
IPG
IFF
INTU
ISRG
IVZ
IRM
JEC
JBHT
JNJ
JCI
JPM
JNPR
KSU
K
KEY
KMB
KIM
KMI
KLAC
KSS
KHC
KR
LB
LLL
LH
LRCX
LM
LEG
LEN
LVLT
LUK
LLY
LNC
LLTC
LKQ
LMT
L
LOW
LYB
MTB
MAC
M
MNK
MRO
MPC
MAR
MMC
MLM
MAS
MA
MAT
MKC
MCD
MCK
MJN
WRK
MDT
MRK
MET
KORS
MCHP
MU
MSFT
MHK
TAP
MDLZ
MON
MNST
MCO
MS
MOS
MSI
MUR
MYL
NDAQ
NOV
NAVI
NTAP
NFLX
NWL
NFX
NEM
NWSA
NWS
NLSN
NKE
NI
NBL
JWN
NSC
NTRS
NOC
NRG
NUE
NVDA
ORLY
OXY
OMC
OKE
ORCL
OI
PCAR
PH
PDCO
PAYX
PYPL
PNR
PBCT
PEP
PKI
PRGO
PFE
PCG
PM
PSX
PNW
PXD
PBI
PNC
RL
PPG
PPL
PX
CFG
PCLN
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
PVH
QRVO
PWR
QCOM
DGX
RRC
RTN
O
RHT
REGN
RF
RSG
RAI
RHI
ROK
COL
ROP
ROST
RCL
R
CRM
SCG
SLB
SNI
STX
SEE
SRE
SHW
SIG
SPG
SWKS
SLG
SJM
SNA
SO
LUV
SWN
SE
SPGI
STJ
SWK
SPLS
SBUX
HOT
STT
SRCL
SYK
STI
SYMC
SYF
SYY
TROW
TGT
TEL
TE
TGNA
TDC
TSO
TXN
TXT
HSY
TRV
TMO
TIF
TWX
TJX
TMK
TSS
TSCO
TDG
RIG
TRIP
FOXA
FOX
TSN
TYC
UDR
ULTA
USB
UA
UNP
UAL
UNH
UPS
URI
UTX
UHS
UNM
URBN
VFC
VLO
VAR
VTR
VRSN
VRSK
VZ
VRTX
VIAB
V
VNO
VMC
WMT
WBA
DIS
WM
WAT
ANTM
WFC
HCN
WDC
WU
WY
WHR
WFM
WMB
WLTW
WEC
WYN
WYNN
XEL
XRX
XLNX
XL
XYL
YHOO
YUM
ZION
AADR
AAIT
AAXJ
ACIM
ACWI
ACWV
ACWX
ADRA
ADRD
ADRE
ADRU
ADZ
AFK
AGA
AGEM
AGF
AGG
AGLS
AGOL
AGQ
AGZ
AIA
ALD
ALFA
ALTL
AMJ
AMLP
AMPS
AMU
AND
ANGL
AOA
AOK
AOM
AOR
ARGT
ASDR
ASEA
ATMP
AUD
AUNZ
AUSE
AXDI
AXEN
AXFN
AXHE
AXID
AXIT
AXJL
AXJS
AXMT
AXSL
AXTE
AXUT
AYT
AZIA
BAB
BABS
BABZ
BAL
BARL
BBH
BBRC
BCM
BDCL
BDCS
BDD
BDG
BFOR
BIB
BICK
BIK
BIL
BIS
BIV
BIZD
BJK
BKF
BKLN
BLNG
BLV
BND
BNDX
BNO
BOIL
BOM
BOND
BONO
BOS
BRAF
BRAQ
BRAZ
BRF
BRXX
BRZS
BRZU
BSCD
BSCE
BSCF
BSCG
BSCH
BSCI
BSCJ
BSCK
BSJD
BSJE
BSJF
BSJG
BSJH
BSJI
BSV
BTAL
BUND
BUNL
BUNT
BWV
BWX
BWZ
BXDB
BXUB
BXUC
BZF
BZQ
CAD
CAFE
CANE
CAPE
CARZ
CBND
CCX
CCXE
CEMB
CEW
CFT
CGW
CHEP
CHIE
CHII
CHIM
CHIQ
CHIX
CHLC
CHOC
CHXF
CHXX
CIU
CLY
CMBS
CMD
CMF
CNDA
CNPF
CNY
COBO
COLX
COPX
CORN
CORP
COW
CPER
CPI
CQQQ
CRBQ
CROC
CROP
CRUD
CSD
CSJ
CSLS
CSM
CSMA
CSMB
CSMN
CTNN
CU
CUPM
CURE
CUT
CVOL
CVY
CWB
CWI
CXA
CYB
CZA
DAG
DBA
DBB
DBBR
DBC
DBE
DBEF
DBEM
DBGR
DBIZ
DBJP
DBO
DBP
DBS
DBU
DBV
DCNG
DDG
DDM
DDP
DEE
DEF
DEFL
DEM
DES
DEW
DFE
DFJ
DFVL
DFVS
DGAZ
DGL
DGLD
DGP
DGRW
DGS
DGT
DGZ
DHS
DIA
DIG
DIM
DIRT
DIV
DJCI
DJP
DLBL
DLBS
DLN
DLS
DNL
DNO
DOD
DOG
DOIL
DOL
DON
DOO
DPK
DPU
DRGS
DRN
DRR
DRV
DRW
DSI
DSLV
DSTJ
DSUM
DSXJ
DTD
DTH
DTN
DTO
DTUL
DTUS
DTYL
DTYS
DUG
DUST
DVY
DVYA
DVYE
DVYL
DWAS
DWM
DWTI
DWX
DXD
DXJ
DYY
DZK
DZZ
EAPS
EBND
ECH
ECNS
ECON
EDC
EDEN
EDIV
EDV
EDZ
EEB
EEH
EEHB
EELV
EEM
EEMA
EEME
EEML
EEMS
EEMV
EES
EET
EEV
EFA
EFAV
EFG
EFNL
EFO
EFU
EFV
EFZ
EGPT
EGRW
EIDO
EIRL
EIS
ELD
ELR
EMB
EMCB
EMCD
EMCR
EMDD
EMDI
EMDR
EMEY
EMFN
EMFT
EMHY
EMIF
EMLB
EMLC
EMLP
EMM
EMMT
EMSA
EMT
ENGN
ENOR
ENY
ENZL
EPHE
EPI
EPOL
EPP
EPS
EPU
EPV
EQL
ERO
ERUS
ERX
ERY
ESR
EU
EUFN
EUFX
EUM
EUO
EUSA
EVAL
EVX
EWA
EWAS
EWC
EWCS
EWD
EWEM
EWG
EWGS
EWH
EWHS
EWI
EWJ
EWK
EWL
EWM
EWN
EWO
EWP
EWQ
EWRI
EWRM
EWRS
EWS
EWSS
EWT
EWU
EWUS
EWV
EWW
EWX
EWY
EWZ
EWZS
EXI
EXT
EZA
EZJ
EZM
EZU
EZY
FAB
FAD
FAN
FAS
FAUS
FAZ
FBG
FBT
FBZ
FCA
FCAN
FCG
FCHI
FDD
FDL
FDM
FDN
FDT
FDTS
FEEU
FEFN
FEM
FEMS
FEP
FEU
FEX
FEZ
FFR
FGD
FGEM
FGM
FHK
FIGY
FILL
FINF
FINU
FINZ
FIVZ
FIW
FJP
FKO
FKU
FLAG
FLAT
FLM
FLN
FLOT
FLRN
FLTR
FM
FMK
FNI
FNIO
FNK
FNX
FNY
FOIL
FOL
FONE
FORX
FPA
FPE
FPX
FRAK
FRI
FRN
FSA
FSE
FSG
FSU
FSZ
FTA
FTC
FTCS
FTSL
FTW
FTY
FUD
FUE
FVD
FVI
FVL
FWDB
FWDD
FWDI
FXA
FXB
FXC
FXCH
FXD
FXE
FXF
FXG
FXH
FXI
FXL
FXN
FXO
FXP
FXR
FXS
FXSG
FXU
FXY
FXZ
FYC
FYT
FYX
GAF
GAL
GASL
GASX
GASZ
GAZ
GBB
GBF
GCC
GCE
GDAY
GDX
GDXJ
GEMS
GERJ
GEX
GGEM
GGGG
GGOV
GHYG
GII
GIVE
GIY
GLCB
GLD
GLDI
GLDX
GLL
GLTR
GMF
GMFS
GML
GMM
GMMB
GMTB
GNAT
GNMA
GNR
GOVT
GREK
GRES
GRI
GRID
GRN
GRU
GRWN
GSAX
GSC
GSG
GSGO
GSMA
GSP
GSRA
GSY
GTAA
GTIP
GULF
GUNR
GUR
GURU
GVI
GVT
GWL
GWX
GXC
GXF
GXG
GYLD
HAO
HAP
HDG
HDGE
HDV
HECO
HEDJ
HEVY
HGEM
HGI
HILO
HUSE
HVPW
HYD
HYEM
HYG
HYHG
HYLD
HYLS
HYMB
HYS
HYXU
IAI
IAK
IAT
IAU
IBB
IBCB
IBCC
IBCD
IBCE
IBND
ICF
ICI
ICLN
ICN
IDHB
IDHQ
IDLV
IDU
IDV
IDX
IDXJ
IEF
IEFA
IEI
IELG
IEMG
IEO
IESM
IEV
IEZ
IFAS
IFEU
IFGL
IFNA
IFSM
IGE
IGEM
IGF
IGM
IGN
IGOV
IGS
IGU
IGV
IHE
IHF
IHI
IHY
IJH
IJJ
IJK
IJR
IJS
IJT
ILB
ILF
ILTB
IMLP
INCO
INDA
INDL
INDY
INFL
INKM
INP
INR
INXX
INY
IOIL
IOO
IPD
IPE
IPF
IPFF
IPK
IPLT
IPN
IPS
IPU
IPW
IQDE
IQDF
IQDY
IRV
IRY
ISHG
IST
ISTB
ITA
ITB
ITE
ITF
ITIP
ITLT
ITLY
ITM
ITOT
ITR
IVE
IVOG
IVOO
IVOP
IVOV
IVV
IVW
IWB
IWC
IWD
IWF
IWL
IWM
IWN
IWO
IWP
IWR
IWS
IWV
IWW
IWX
IWY
IWZ
IXC
IXG
IXJ
IXN
IXP
IXUS
IYC
IYE
IYF
IYG
IYH
IYJ
IYK
IYLD
IYM
IYR
IYT
IYW
IYY
IYZ
JEM
JFT
JGBD
JGBL
JGBS
JGBT
JJA
JJC
JJE
JJG
JJM
JJN
JJP
JJS
JJT
JJU
JKD
JKE
JKF
JKG
JKH
JKI
JKJ
JKK
JKL
JNK
JO
