0.85,0
0.855,10344
0.86,1070
0.865,1277
0.87,1412
0.875,1667
0.88,1777
0.885,2055
0.89,2669
0.895,3199
0.9,3545
0.905,4598
0.91,5212
0.915,6357
0.92,7689
0.925,9539
0.93,11870
0.935,15014
0.94,18547
0.945,24004
0.95,31160
0.955,40281
0.96,54397
0.965,71925
0.97,99157
0.975,137274
0.98,192383
0.985,272984
0.99,385169
0.995,531966
1.0,936607
1.005,636526
1.01,551884
1.015,391789
1.02,275798
1.025,192078
1.03,137102
1.035,99544
1.04,74935
1.045,54904
1.05,41949
1.055,32806
1.06,25842
1.065,20300
1.07,16215
1.075,13495
1.08,10811
1.085,9114
1.09,7362
1.095,6190
1.1,5128
1.105,4362
1.11,3796
1.115,3212
1.12,2773
1.125,2513
1.13,2095
1.135,1876
1.14,1597
1.145,1486
1.15,1309
