AAPL
ADM
AVP
AVY
BEAM
BF-B
BLL
BMS
BWA
CAG
CCE
CL
CLX
COH
CPB
DLPH
DPS
ECL
EL
F
FOSL
GIS
GT
HAR
HAS
HNZ
HOG
HRL
HSY
IP
JCI
K
KMB
KO
KRFT
LEG
LO
LUK
MAT
MDLZ
MJN
MKC
MNST
MO
MWV
NKE
NWL
OI
PBI
PCAR
PEP
PG
PM
PVH
RAI
RL
SEE
SJM
STZ
TAP
TSN
VFC
WHR
