ABC
ADT
AMZN
AN
ANF
APOL
AZO
BBBY
BBY
CAH
CBS
CCL
CHRW
CMCSA
CMG
COST
CSX
CTAS
CVC
CVS
DG
DIS
DISCA
DLTR
DRI
DTV
EBAY
EXPD
EXPE
FDO
FDX
FISV
GCI
GME
GPC
GPS
GWW
HD
HOT
HRB
IPG
JCP
JEC
JWN
KMX
KR
KSS
KSU
LOW
LTD
LUV
M
MAR
MCD
MCK
MCO
MHFI
NFLX
NSC
NWSA
OMC
ORLY
PAYX
PCLN
PDCO
PETM
R
RHI
ROK
ROST
SBUX
SNI
SPLS
SWY
SYY
TGT
TIF
TJX
TWC
TWX
TYC
UNP
UPS
URBN
VIAB
WAG
WFM
WMT
WPO
WYN
WYNN
YUM
