A
ABBV
ABT
ACT
AET
AGN
ALXN
AMGN
BAX
BCR
BDX
BIIB
BMY
BSX
CELG
CFN
CI
COV
DGX
DVA
ESRX
EW
FRX
GILD
HSP
HUM
ISRG
JNJ
LH
LIFE
LLY
MDT
MRK
MYL
PFE
PKI
PRGO
REGN
STJ
SYK
THC
TMO
UNH
VAR
WLP
XRAY
ZMH
