"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
241,"ISRG","Intuitive Surgical, Inc.","Healthcare","Medical Appliances & Equipment","USA",15527.48,22.67,389.16,2.08%,750659
242,"ITW","Illinois Tool Works Inc.","Industrial Goods","Diversified Machinery","USA",33373.81,14.11,74.23,0.23%,1451582
243,"IVZ","Invesco Ltd.","Financial","Asset Management","USA",14443.06,19.26,32.16,2.10%,4198965
244,"JBL","Jabil Circuit Inc.","Technology","Printed Circuit Boards","USA",4396.09,12.10,21.66,-0.73%,2351035
245,"JCI","Johnson Controls Inc.","Consumer Goods","Auto Parts","USA",27479.10,25.92,40.18,0.73%,3983434
246,"JCP","J. C. Penney Company, Inc.","Services","Department Stores","USA",1740.53,,7.89,1.54%,33301766
247,"JDSU","JDS Uniphase Corporation","Technology","Communication Equipment","USA",3372.03,67.81,14.24,-2.20%,5831538
248,"JEC","Jacobs Engineering Group Inc.","Services","Technical Services","USA",7269.56,17.43,56.12,-0.28%,687337
249,"JNJ","Johnson & Johnson","Healthcare","Drug Manufacturers - Major","USA",241521.81,19.10,85.96,0.41%,8005587
250,"JNPR","Juniper Networks, Inc.","Technology","Networking & Communication Devices","USA",10065.03,33.92,20.01,-1.82%,6641677
251,"JOY","Joy Global, Inc.","Industrial Goods","Farm & Construction Machinery","USA",5432.91,7.61,51.03,1.57%,1302168
252,"JPM","JPMorgan Chase & Co.","Financial","Money Center Banks","USA",191956.80,8.47,50.75,-0.24%,24699480
253,"JWN","Nordstrom Inc.","Services","Apparel Stores","USA",10903.04,14.79,55.77,0.27%,1630348
254,"K","Kellogg Company","Consumer Goods","Processed & Packaged Goods","USA",21698.04,22.49,59.61,0.02%,2536250
255,"KEY","KeyCorp","Financial","Money Center Banks","USA",10380.04,13.21,11.36,0.53%,12837794
256,"KIM","Kimco Realty Corporation","Financial","REIT - Retail","USA",7981.59,57.59,19.58,1.71%,5441570
257,"KLAC","KLA-Tencor Corporation","Technology","Semiconductor Equipment & Materials","USA",9849.79,18.58,59.46,-0.40%,1414478
258,"KMB","Kimberly-Clark Corporation","Consumer Goods","Personal Products","USA",36269.52,20.06,94.28,1.17%,2058129
