AA
APA
APC
APD
ARG
BHI
BTU
CAM
CF
CHK
CLF
CNX
COG
COP
CVX
DD
DNR
DO
DOW
DVN
EMN
EOG
ESV
FCX
FMC
FTI
HAL
HES
HP
IFF
KMI
LYB
MON
MOS
MPC
MRO
MUR
NBL
NBR
NE
NEM
NFX
NOV
NUE
OXY
PPG
PSX
PX
PXD
QEP
RDC
RRC
SE
SHW
SIAL
SLB
SWN
TSO
VLO
WMB
WPX
X
XOM
